PERIODO,MES,PAIS_ORIGEN,ARANCEL,TOTAL_CIF_ITEM_US$,CANTIDAD_MERCANCIA
2015,08,ARGENTINA,85042110,34800,3
2015,08,ARGENTINA,29242990,1269,1
2015,08,ARGENTINA,20096920,95707,46
2015,08,ARGENTINA,90183910,10686,4
2015,08,ARGENTINA,85119000,16819,44
2015,08,ARGENTINA,84369900,842,3
2015,08,ARGENTINA,85365000,55328,15
2015,08,ARGENTINA,10019942,28571,36
2015,08,ARGENTINA,85423100,466,6
2015,08,ARGENTINA,85423900,43124,7
2015,08,ARGENTINA,85437090,2137,51
2015,08,ARGENTINA,85099000,1099,7
2015,08,ARGENTINA,29171400,29520,13
2015,08,ARGENTINA,22042199,33388,35
2015,08,ARGENTINA,84833010,35910,39
2015,08,ARGENTINA,27101964,33490,7
2015,08,ARGENTINA,84831090,654,12
2015,08,ARGENTINA,29419090,824,8
2015,08,ARGENTINA,85161010,36035,38
2015,08,ARGENTINA,25232900,34906,58
2015,08,ARGENTINA,28444000,52650,1
2015,08,ARGENTINA,12040090,41829,12
2015,08,ARGENTINA,23024000,20955,49
2015,08,ARGENTINA,84841000,19656,1
2015,08,ARGENTINA,20079999,42042,18
2015,08,ARGENTINA,85045000,140,49
2015,08,ARGENTINA,84389000,14747,31
2015,08,ARGENTINA,25301000,14766,115000
2015,08,ARGENTINA,85333110,255,17
2015,08,ARGENTINA,85059090,1935,13
2015,08,ARGENTINA,84717090,57,1
2015,08,ARGENTINA,84479000,74,26
2015,08,ARGENTINA,20098950,35038,46
2015,08,ARGENTINA,85371000,65075,2
2015,08,ARGENTINA,84732900,36,35
2015,08,ARGENTINA,84849000,98952,4
2015,08,ARGENTINA,25081000,57287,18
2015,08,ARGENTINA,84342000,29879,15
2015,08,ARGENTINA,22087000,69788,16
2015,08,ARGENTINA,87089960,1919,35
2015,08,ARGENTINA,84484200,644,16
2015,08,ARGENTINA,28323000,49604,27
2015,08,ARGENTINA,23080000,88296,256500
2015,08,ARGENTINA,23069000,81546,16
2015,08,ARGENTINA,16024900,123,18
2015,08,ARGENTINA,17031000,11698,39
2015,08,ARGENTINA,19041000,145134,26
2015,08,ARGENTINA,85369013,118516,51
2015,08,ARGENTINA,24011090,133,15
2015,08,ARGENTINA,07082000,174,8
2015,08,ARGENTINA,85285111,1242,4
2015,08,ARGENTINA,22029090,16323,23
2015,08,ARGENTINA,04062000,88364,15
2015,08,ARGENTINA,27079900,120710,57
2015,08,ARGENTINA,20093900,84288,9
2015,08,ARGENTINA,29329990,206,2
2015,08,ARGENTINA,84833020,54736,53
2015,08,ARGENTINA,19059020,35434,13
2015,08,ARGENTINA,27101290,116209,5
2015,08,ARGENTINA,23032090,48866,58
2015,08,ARGENTINA,87088092,260,6
2015,08,ARGENTINA,25232100,286,38
2015,08,ARGENTINA,15200000,15913,31
2015,08,ARGENTINA,23025000,12168,8
2015,08,ARGENTINA,29021100,33678,46
2015,08,ARGENTINA,25222000,48756,44
2015,08,ARGENTINA,22042161,150,55
2015,08,ARGENTINA,84821090,1939,28
2015,08,ARGENTINA,21039020,117460,6
2015,08,ARGENTINA,84805000,12024,2
2015,08,ARGENTINA,05119190,11633,23
2015,08,ARGENTINA,29181310,74946,51
2015,08,ARGENTINA,29251900,496,26
2015,08,ARGENTINA,85118000,14805,26
2015,08,ARGENTINA,84662000,978,25
2015,08,ARGENTINA,85269100,1488,19
2015,08,ARGENTINA,84831010,38860,59
2015,08,ARGENTINA,25083000,11530,3
